SKU	Quantity	SellingVenue
A07663	0	AmazonUS
A07664	193	AmazonUS
A07669	0	AmazonUS
A0766903	76	AmazonUS
A07670	68	AmazonUS
A07671	104	AmazonUS
A07673	0	AmazonUS
A07674	21	AmazonUS
A07675	3	AmazonUS
A07680	0	AmazonUS
A0768003	17	AmazonUS
A07688	122	AmazonUS
A07689	6	AmazonUS
A07690	87	AmazonUS
A07691	18	AmazonUS
A07692	37	AmazonUS
A07693	0	AmazonUS
A07694	71	AmazonUS
A07701	46	AmazonUS
A07702	0	AmazonUS
A07710	27	AmazonUS
A07711	47	AmazonUS
A07712	102	AmazonUS
A07715	111	AmazonUS
A07716	20	AmazonUS
A07717	51	AmazonUS
A07718	117	AmazonUS
A07719	86	AmazonUS
A07720	49	AmazonUS
A07722	156	AmazonUS
A07725	84	AmazonUS
A07833	86	AmazonUS
A07837	192	AmazonUS
A07840	0	AmazonUS
A07857	89	AmazonUS
A07859	0	AmazonUS
A07862	59	AmazonUS
A07863	144	AmazonUS
A07867	45	AmazonUS
A07873	36	AmazonUS
A07875	84	AmazonUS
A07876	107	AmazonUS
A07877	113	AmazonUS
A07878	0	AmazonUS
A07941	78	AmazonUS
A07963	108	AmazonUS
A07964	7	AmazonUS
A07972	1130	AmazonUS
A07994	0	AmazonUS
A08006	14	AmazonUS
A08010	68	AmazonUS
A08011	130	AmazonUS
A08019	48	AmazonUS
A08026	100	AmazonUS
A08036	15	AmazonUS
A08052	117	AmazonUS
A08102	0	AmazonUS
A08111	209	AmazonUS
A08135	134	AmazonUS
A08141	120	AmazonUS
A08143	239	AmazonUS
A08147	127	AmazonUS
A08182	60	AmazonUS
A08206	0	AmazonUS
A08214	0	AmazonUS
A08230	123	AmazonUS
A08259	0	AmazonUS
A08267	170	AmazonUS
A08271	178	AmazonUS
A08295	203	AmazonUS
A08342	54	AmazonUS
A08343	39	AmazonUS
A08345	0	AmazonUS
A08358	72	AmazonUS
A08403	272	AmazonUS
A08422	0	AmazonUS
A08423	100	AmazonUS
A08428	24	AmazonUS
A08429	53	AmazonUS
A08432	156	AmazonUS
A08433	229	AmazonUS
A08434	122	AmazonUS
A08435	0	AmazonUS
A08437	90	AmazonUS
A08439	84	AmazonUS
A08440	138	AmazonUS
A08441	109	AmazonUS
A08444	0	AmazonUS
A08493	40	AmazonUS
A08494	24	AmazonUS
A08495	65	AmazonUS
A08496	38	AmazonUS
A08497	98	AmazonUS
A08516	124	AmazonUS
A08530	80	AmazonUS
A08620	70	AmazonUS
A08747	117	AmazonUS
A08752	66	AmazonUS
A08799	21	AmazonUS
A08823	16	AmazonUS
A08827	50	AmazonUS
A08831	1	AmazonUS
A08853	162	AmazonUS
A08855	105	AmazonUS
A08856	75	AmazonUS
A08866	38	AmazonUS
A08904	66	AmazonUS
A08909	41	AmazonUS
A08944	19	AmazonUS
A08947	160	AmazonUS
A08951	71	AmazonUS
A09133	183	AmazonUS
A09767	200	AmazonUS
A09854	74	AmazonUS
A09855	61	AmazonUS
A09929	84	AmazonUS
A09931	100	AmazonUS
A10002	27	AmazonUS
A10009	29	AmazonUS
A10010	12	AmazonUS
A10011	21	AmazonUS
A10012	14	AmazonUS
A10013	23	AmazonUS
A10014	26	AmazonUS
A10016	16	AmazonUS
A10031	0	AmazonUS
A10032	70	AmazonUS
A10039	55	AmazonUS
A10040	26	AmazonUS
A10041	58	AmazonUS
A10042	33	AmazonUS
A10054	76	AmazonUS
A10107	151	AmazonUS
A10118	117	AmazonUS
A10190	39	AmazonUS
A10227	0	AmazonUS
A10228	191	AmazonUS
A10280	127	AmazonUS
A10283	0	AmazonUS
A10285	121	AmazonUS
A10290	52	AmazonUS
